Timestamp;PacketTransmit;PacketReceive;PacketLossCount;PacketLossRate;RTTMin;RTTAvg;RTTMax;RTTMdev
2024-05-11 00:20:54;10;10;0;0.0;41.126;51.045;67.531;7.552
2024-05-11 00:21:04;10;10;0;0.0;32.761;44.157;58.059;6.823
2024-05-11 00:21:14;10;10;0;0.0;31.86;46.488;83.314;16.988
2024-05-11 00:21:24;10;10;0;0.0;32.041;35.528;39.079;2.171
2024-05-11 00:21:34;10;10;0;0.0;33.844;48.05;62.478;9.541
2024-05-11 00:21:44;10;10;0;0.0;29.187;41.381;51.539;6.13
2024-05-11 00:21:55;10;9;1;10.0;28.932;35.02;46.639;5.27
2024-05-11 00:22:05;10;10;0;0.0;36.305;42.108;51.012;4.619
2024-05-11 00:22:21;10;10;0;0.0;38.05;44.903;49.336;3.598
2024-05-11 00:22:32;10;10;0;0.0;33.143;40.468;47.743;4.358
2024-05-11 00:22:42;10;10;0;0.0;33.848;41.096;49.082;4.999
2024-05-11 00:22:52;10;10;0;0.0;38.061;50.906;67.999;10.506
2024-05-11 00:23:03;10;9;1;10.0;35.34;45.07;59.866;9.361
2024-05-11 00:23:13;10;10;0;0.0;35.842;46.67;63.728;8.091
2024-05-11 00:23:23;10;10;0;0.0;35.632;44.461;54.858;5.361
2024-05-11 00:23:33;10;10;0;0.0;27.593;35.046;51.672;6.531
2024-05-11 00:23:43;10;10;0;0.0;28.176;31.898;35.292;2.599
2024-05-11 00:23:53;10;10;0;0.0;29.589;39.936;61.204;8.597
2024-05-11 00:24:04;10;9;1;10.0;26.607;34.79;48.95;6.642
2024-05-11 00:24:16;10;9;1;10.0;26.431;33.945;57.653;10.003
2024-05-11 00:24:38;10;10;0;0.0;36.896;48.321;77.906;12.476
2024-05-11 00:24:48;10;10;0;0.0;38.935;51.881;107.0;19.144
2024-05-11 00:24:58;10;10;0;0.0;38.635;56.164;98.201;18.432
2024-05-11 00:25:08;10;10;0;0.0;37.664;44.666;62.082;7.339
2024-05-11 00:25:18;10;10;0;0.0;36.17;40.701;48.836;4.309
2024-05-11 00:25:28;10;10;0;0.0;36.012;41.463;53.352;5.532
2024-05-11 00:25:38;10;10;0;0.0;41.298;52.292;69.067;8.871
2024-05-11 00:25:48;10;10;0;0.0;38.36;48.495;69.719;11.048
2024-05-11 00:25:59;10;10;0;0.0;37.022;54.633;118.285;22.19
2024-05-11 00:26:09;10;10;0;0.0;39.328;48.263;70.876;10.057
2024-05-11 00:26:19;10;10;0;0.0;42.996;50.781;68.033;7.331
2024-05-11 00:26:29;10;10;0;0.0;38.031;45.847;54.916;5.61
2024-05-11 00:26:39;10;10;0;0.0;39.399;46.4;52.707;3.808
2024-05-11 00:26:49;10;10;0;0.0;38.159;49.038;71.861;8.928
2024-05-11 00:26:59;10;10;0;0.0;32.827;44.133;69.351;10.46
2024-05-11 00:27:09;10;10;0;0.0;28.383;42.075;62.529;11.765
2024-05-11 00:27:20;10;9;1;10.0;39.617;137.162;283.24;71.177
2024-05-11 00:27:31;10;9;1;10.0;42.856;62.656;89.433;18.083
2024-05-11 00:27:42;10;10;0;0.0;38.541;47.213;63.782;8.384
2024-05-11 00:27:52;10;10;0;0.0;36.552;43.767;55.049;6.448
2024-05-11 00:28:02;10;10;0;0.0;38.183;51.679;80.188;11.332
2024-05-11 00:28:12;10;10;0;0.0;36.133;47.72;67.726;12.405
2024-05-11 00:28:22;10;10;0;0.0;41.51;54.562;68.563;8.365
2024-05-11 00:28:32;10;10;0;0.0;36.936;49.031;78.477;13.013
2024-05-11 00:28:42;10;10;0;0.0;43.545;51.231;59.558;4.466
2024-05-11 00:28:52;10;10;0;0.0;45.6;50.852;60.973;4.822
2024-05-11 00:29:03;10;10;0;0.0;36.998;51.64;88.822;14.051
2024-05-11 00:29:13;10;10;0;0.0;35.582;44.452;71.43;10.628
2024-05-11 00:29:23;10;10;0;0.0;38.23;48.062;58.294;5.083
2024-05-11 00:29:33;10;10;0;0.0;30.719;38.46;48.465;6.098
2024-05-11 00:29:43;10;10;0;0.0;31.804;60.458;100.858;22.847
2024-05-11 00:29:53;10;10;0;0.0;45.543;52.534;59.86;5.102
2024-05-11 00:30:03;10;10;0;0.0;43.76;51.841;59.118;5.372
2024-05-11 00:30:14;10;8;2;20.0;45.119;51.274;62.167;5.882
2024-05-11 00:30:36;10;10;0;0.0;31.908;35.217;39.56;2.135
2024-05-11 00:30:46;10;10;0;0.0;33.617;48.349;77.106;15.039
2024-05-11 00:30:57;10;10;0;0.0;39.422;44.43;57.863;5.371
2024-05-11 00:31:07;10;10;0;0.0;39.42;49.224;69.022;7.682
2024-05-11 00:31:17;10;10;0;0.0;43.913;58.42;73.622;9.635
2024-05-11 00:31:27;10;10;0;0.0;38.22;51.841;69.673;9.313
2024-05-11 00:31:37;10;10;0;0.0;36.065;40.181;46.41;3.328
2024-05-11 00:31:47;10;10;0;0.0;28.93;36.001;41.486;3.99
2024-05-11 00:31:57;10;10;0;0.0;28.811;48.931;165.068;39.053
2024-05-11 00:32:07;10;10;0;0.0;37.809;82.293;152.75;38.611
2024-05-11 00:32:18;10;10;0;0.0;39.95;58.799;102.708;21.994
